# name|lat|lon|elevation_m|radius_km
Ōami|35.5167|140.3167|405|22.0
Kishanganj|26.1022|87.9553|1213|22.0
Paulo Afonso|-9.4061|-38.2147|377|22.0
New Port Richey|28.2442|-82.7193|1262|22.0
Naranjito|18.3008|-66.2449|1058|22.0
Amble|55.3333|-1.5833|1971|22.0
Le Kram|36.8358|10.3164|2013|22.0
Donsol|12.9055|123.5949|-350|22.0
Velddrif|-32.7852|18.1786|-350|22.0
Lisbon|38.7251|-9.1498|2579|22.0
Villejuif|48.7939|2.3599|2043|22.0
Miguel Alves|-4.1656|-42.8953|509|22.0
Devonport|-41.1769|146.3515|-350|22.0
Santa Cecilia|-23.5318|-46.6529|48|22.0
Huanglou|36.6471|118.6055|80|22.0
Matina|-13.9094|-42.8494|386|22.0
Umm Lakhbā|25.3416|51.4706|1077|22.0
Atlixco|18.9081|-98.4361|597|22.0
Nīlī|33.7218|66.1302|1748|22.0
Gossau|47.4155|9.2548|1881|22.0
Ladenburg|49.4731|8.6090|1866|22.0
Laguna Hills|33.6125|-117.7128|604|22.0
Néa Moudhaniá|40.2439|23.2848|1633|22.0
Novominskaya|46.3163|38.9586|1935|22.0
Gopināthpur|22.6630|86.0750|1171|22.0
Kızılcaşar|39.8226|32.7329|1589|22.0
Kaya|13.0883|-1.0837|1804|22.0
Fort Lee|40.8509|-73.9701|1023|22.0
Fort Oglethorpe|34.9490|-85.2569|1263|22.0
Makongolosi|-8.4000|33.1500|813|22.0
Istvánmező|47.5047|19.0955|1739|22.0
Chhibrāmau|27.1487|79.5008|1424|22.0
Brejo Grande do Araguaia|-5.6989|-48.4131|573|22.0
Bandeira do Sul|-21.7281|-46.3858|130|22.0
Pinto|-36.7036|-71.8923|-350|22.0
Los Baños|14.1702|121.2418|-308|22.0
Zhongping|28.4161|109.1293|256|22.0
Svenstrup|56.9723|9.8481|1788|22.0
The Wharf|38.8791|-77.0249|1082|22.0
Nghĩa Đô|21.0500|105.8000|437|22.0
Simonkylä|60.3100|25.0301|2074|22.0
Raja Jang|31.2208|74.2548|1623|22.0
Hanyin Chengguanzhen|32.8914|108.5047|272|22.0
Lào Cai|22.4856|103.9707|526|22.0
Gravatá|-8.2011|-35.5647|329|22.0
Sunrise Manor|36.2111|-115.0731|856|22.0
Australind|-33.2792|115.7150|-350|22.0
Findlay|41.0442|-83.6499|1141|22.0
Pisochyn|49.9564|36.1084|2018|22.0
Kagnénako|5.8119|-6.3490|1118|22.0
Meaño|42.4466|-8.7812|2542|22.0
Passirano|45.5967|10.0699|1887|22.0
Tiéme|9.5445|-7.3178|1364|22.0
Meerhout|51.1321|5.0784|1915|22.0
Orewa|-36.5810|174.6790|-350|22.0
Union City|40.7796|-74.0238|1025|22.0
Vardenis|40.1827|45.7316|1792|22.0
Gandino|45.8109|9.8977|1888|22.0
Pudūr|8.8692|77.9938|316|22.0
Murtajāpur|20.7330|77.3669|1128|22.0
Banská Štiavnica|48.4486|18.9100|1748|22.0
Wixom|42.5248|-83.5363|1107|22.0
Jatobá|-5.8167|-44.2233|517|22.0
São Francisco do Pará|-1.1694|-47.7953|624|22.0
Parmonangan|2.3970|99.0515|92|22.0
Ust’-Charyshskaya Pristan’|52.3947|83.6635|1071|22.0
Marigliano|40.9248|14.4561|1821|22.0
Šaľa|48.1513|17.8806|1750|22.0
Konnagar|22.7051|88.3445|1126|22.0
Chachersk|52.9164|30.9179|2006|22.0
Buarcos|40.1660|-8.8768|2568|22.0
Jumla|29.2747|82.1838|1433|22.0
Resende|-22.4689|-44.4467|141|22.0
Floresville|29.1336|-98.1561|1136|22.0
Lubsko|51.7847|14.9720|1779|22.0
Naples|40.8522|14.2681|1827|22.0
İstinye|41.1101|29.0509|1614|22.0
Saint Petersburg|59.9386|30.3141|12|60.0
Al Qāhirah al Jadīdah|30.0421|31.4445|1356|22.0
Al Başalīyah Baḩrī|25.1500|32.7167|1253|22.0
Maçka|40.8107|39.6046|1708|22.0
Katsuta|36.3833|140.5333|458|22.0
Limena|45.4695|11.8457|1844|22.0
Aguilares|-27.4315|-65.6146|-350|22.0
Costa da Caparica|38.6413|-9.2322|2580|22.0
Zahia|6.9167|-6.5781|1194|22.0
Poldasht|39.3480|45.0710|1738|22.0
Wādi|17.0518|76.9905|892|22.0
Nzagi|-8.3855|15.3013|734|22.0
Derventa|44.9784|17.9078|1735|22.0
Obo|5.3959|26.4921|1353|22.0
Brigittenau|48.2428|16.3755|1760|22.0
Kāb|25.3892|84.7895|1279|22.0
Calarcá|4.5295|-75.6409|630|22.0
Sri Dūngargarh|28.0962|74.0087|1503|22.0
East Hanover|40.8201|-74.3649|1027|22.0
Söderköping|58.4806|16.3222|1849|22.0
Barracks Row|38.8813|-76.9950|1081|22.0
Hood River|45.7054|-121.5215|991|22.0
Konrā|24.3103|85.4221|1235|22.0
Barra Mansa|-22.5442|-44.1714|144|22.0
Paços|41.1621|-8.6705|2555|22.0
Mpanda|-6.3438|31.0695|922|22.0
Mwaya|-9.5500|33.9500|759|22.0
Sinnai|39.3029|9.2028|2015|22.0
Chui|-33.6979|-53.4593|-350|22.0
Margine Coperta-Traversagna|43.8798|10.7573|1892|22.0
Albardón|-31.4372|-68.5256|-350|22.0
Stonegate-Queensway|43.6355|-79.5011|1030|22.0
Waitangi|-43.9535|-176.5597|-350|22.0
Zingem|50.9041|3.6530|1955|22.0
Podporozh’ye|60.9100|34.1619|2292|22.0
Cave Creek|33.8333|-111.9508|869|22.0
Chemax|20.6556|-87.9369|1066|22.0
Oudewater|52.0250|4.8681|1902|22.0
Timon|-5.0942|-42.8367|500|22.0
Kŭlob|37.9146|69.7845|1862|22.0
Tīra Sujānpur|31.8336|76.5054|1611|22.0
Salto|-23.2008|-47.2869|45|22.0
Hau-ri|41.2006|129.4703|391|22.0
Perpignan|42.6976|2.8954|2174|22.0
Sarny|51.3379|26.6019|1870|22.0
Ajijic|20.2999|-103.2614|460|22.0
Kōra|35.2041|136.2612|268|22.0
Drexel Heights|32.1412|-111.0284|821|22.0
Pavlikeni|43.2428|25.3219|1662|22.0
São Sebastião do Caí|-29.5867|-51.3756|-350|22.0
Degollado|20.4670|-102.1498|525|22.0
McKenzie Towne|50.9134|-113.9674|1229|22.0
Sale|-38.1110|147.0680|-350|22.0
Palestrina|41.8327|12.8818|1857|22.0
Gapyeong|37.8310|127.5106|191|22.0
Valverde|40.5002|-3.6788|2438|22.0
Langenthal|47.2153|7.7961|1921|22.0
Hiroo|42.2823|143.2977|800|22.0
Chiniot|31.7209|72.9784|1652|22.0
Chodov|50.2402|12.7455|1794|22.0
Palos de Moguer|40.4035|-3.6947|2440|22.0
Faranah|10.0404|-10.7434|1271|22.0
Líbano|4.9218|-75.0623|670|22.0
Masonboro|34.1793|-77.8475|1163|22.0
New Canaan|41.1468|-73.4948|1017|22.0
Sātalkheri|24.6522|75.9983|1338|22.0
Amazcala|20.7001|-100.2626|629|22.0
Santa Ana Tlachiahualpa|19.7687|-98.9089|631|22.0
Gijón|43.5357|-5.6615|2440|22.0
Boscotrecase|40.7730|14.4619|1822|22.0
Lancusi-Penta-Bolano|40.7612|14.7852|1813|22.0
Banqiao|25.0143|121.4672|-208|22.0
Bachhraon|28.9269|78.2346|1500|22.0
Errenteria|43.3120|-1.9023|2326|22.0
Moalboal|9.9433|123.3992|-350|22.0
La Porte|41.6077|-86.7139|1179|22.0
Puerto Piray|-26.4694|-54.7074|-350|22.0
Mil’kovo|54.6947|158.6188|662|22.0
La Aldea|20.9017|-101.4785|585|22.0
Nova Mamoré|-10.4019|-65.3267|111|22.0
Ukiah|39.1502|-123.2078|651|22.0
Chester|53.1905|-2.8919|2074|22.0
Ganges|48.8534|-123.5003|1016|22.0
Basmat Ṭab‘ūn|32.7390|35.1572|1368|22.0
San Miguel|10.7800|122.4656|-350|22.0
Merikanjaka|-19.1333|47.8500|148|22.0
Awaji|34.4777|134.9307|192|22.0
La Pastoría|19.5431|-98.9111|616|22.0
Watson|-35.2381|149.1527|-350|22.0
Pinotepa Nacional|16.3401|-98.0530|443|22.0
Bou Ismaïl|36.6426|2.6901|2295|22.0
Alto Molocue|-15.6356|37.6883|481|22.0
Saint James|19.2671|-81.2889|1130|22.0
Zakharivka|47.3313|29.7540|1801|22.0
Sāmpla|28.7772|76.7716|1513|22.0
Mysen|59.5535|11.3258|1796|22.0
Reedsburg|43.5325|-90.0026|1189|22.0
Columbine|39.5878|-105.0694|1266|22.0
Caluquembe|-13.8667|14.4333|310|22.0
Chhāta|27.7237|77.5081|1467|22.0
Kloulklubed|7.0419|134.2556|-350|22.0
Glória do Goitá|-8.0017|-35.2928|324|22.0
Ceparana-Carpena|44.1667|9.8833|1913|22.0
Tirukurangudi|8.4365|77.5657|276|22.0
Ciudad Tula|22.9968|-99.7119|793|22.0
Casserengue|-6.7816|-35.8183|344|22.0
Thủ Dầu Một|10.9804|106.6519|304|22.0
Chapultepec|19.2022|-99.5618|564|22.0
Arapongas|-23.4194|-51.4244|-103|22.0
Ōzu|32.8804|130.8716|20|22.0
Harrow|51.5784|-0.3321|2048|22.0
Săcele|45.6167|25.7110|1712|22.0
Tall Rif‘at|36.4723|37.0947|1496|22.0
Blauvelt|41.0634|-73.9576|1021|22.0
Matamey|13.4231|8.4748|1918|22.0
Demopolis|32.5176|-87.8364|1298|22.0
Koelwār|25.5805|84.7975|1284|22.0
Santos Reyes Nopala|16.1069|-97.1444|471|22.0
Três Fronteiras|-20.2350|-50.8903|79|22.0
Uludere|37.4407|42.8524|1605|22.0
Al Yāmūn|32.4856|35.2301|1360|22.0
Marcelino Vieira|-6.2942|-38.1672|398|22.0
Ch’ŏngdan-ŭp|37.9703|125.9375|170|22.0
Rogongon|8.2333|124.3333|-350|22.0
Nuevo San Carlos|14.5930|-91.6939|621|22.0
Colonia|40.5746|-74.3021|1029|22.0
Hạ Long|20.9505|107.0734|375|22.0
Douradina|-22.0403|-54.6128|-154|22.0
Puebla|32.5665|-115.3539|653|22.0
Lenyenye|-23.9706|30.2696|11|22.0
Castrocaro Terme e Terra del Sole|44.1868|11.9607|1856|22.0
Matli|25.0429|68.6559|1308|22.0
Maserà di Padova|45.3183|11.8654|1845|22.0
Satghara|26.3977|86.1678|1270|22.0
Zabré|5.3101|-6.2754|1083|22.0
Mossuril|-14.9678|40.6639|447|22.0
Ḩalwān|29.8414|31.3008|1356|22.0
Udgīr|18.3926|77.1176|982|22.0
Margny-lès-Compiègne|49.4256|2.8181|2014|22.0
Mössingen|48.4057|9.0542|1872|22.0
Quissecula|-11.3922|15.0920|511|22.0
Kerkera|36.9292|6.5856|2151|22.0
Sabāthu|30.9749|76.9914|1580|22.0
Santana do Mundaú|-9.1681|-36.2222|337|22.0
San Mauro Torinese|45.1036|7.7680|1960|22.0
Inaruwa|26.6068|87.1478|1246|22.0
Magburaka|8.7231|-11.9488|1126|22.0
Paratinga|-12.6906|-43.1842|410|22.0
Boa Ventura|-7.4139|-38.2161|391|22.0
Giudecca|45.4248|12.3291|1834|22.0
Spotswood|40.3918|-74.3985|1032|22.0
Ansan-si|37.3236|126.8219|156|22.0
Itaberaba|-12.5275|-40.3069|382|22.0
Kitakyushu|33.8518|130.8503|67|22.0
Izumizaki|37.1594|140.2969|492|22.0
Karang|13.6078|-16.4269|1310|22.0
Vera|-29.4599|-60.2131|-350|22.0
Tumayr|25.7035|45.8683|1069|22.0
Făget|45.8500|22.1833|1711|22.0
Freistadt|48.5110|14.5045|1779|22.0
Krishnarayapuram|10.9563|78.2831|477|22.0
Ilchester|39.2509|-76.7647|1073|22.0
Laubach|50.5420|8.9903|1845|22.0
Aptos|36.9772|-121.8994|598|22.0
Isheyevka|54.4262|48.2698|2313|22.0
Parsippany|40.8579|-74.4260|1026|22.0
Measham|52.7064|-1.5064|2049|22.0
Shimen|33.4860|104.7382|429|22.0
Amras|47.2500|11.4167|1835|22.0
Pateros|14.5391|121.0726|-299|22.0
Dzhubga|44.3211|38.7073|1846|22.0
Kopeysk|55.1169|61.6181|2059|22.0
Basse Lasne|50.6950|4.4922|1939|22.0
Mukai-awagasaki|36.6325|136.6373|356|22.0
Ban Laongam|15.4655|106.1668|390|22.0
Beaudesert|-27.9869|152.9966|-350|22.0
Caussade|44.1613|1.5369|2187|22.0
Atri|42.5764|13.9890|1819|22.0
Barleben|52.2019|11.6177|1797|22.0
Luís Correia|-2.8792|-41.6669|495|22.0
Mānegaon|23.2062|80.0123|1260|22.0
Neu-Hohenschönhausen|52.5668|13.5125|1785|22.0
Vilavoorkkal|8.4809|77.0220|271|22.0
Mungyeong|36.5946|128.1995|147|22.0
Möhlin|47.5592|7.8433|1914|22.0
Walker|30.4880|-90.8615|1283|22.0
Lodja|-3.5210|23.6005|1122|22.0
Glenmont|39.0579|-77.0497|1079|22.0
Santo Domingo Este|18.4851|-69.8476|1105|22.0
Fălești|47.5767|27.7126|1780|22.0
Yapraklı|40.7578|33.7782|1628|22.0
Koblenz|50.3536|7.5788|1875|22.0
General Fernández Oro|-38.9530|-67.9249|-350|22.0
Tiébo|14.6333|-16.2333|1393|22.0
Albstadt|48.2164|9.0260|1875|22.0
Herk-de-Stad|50.9401|5.1664|1917|22.0
Kollo|13.3043|2.3390|1880|22.0
Ermont|48.9900|2.2580|2041|22.0
Wangaratta|-36.3585|146.3206|-350|22.0
Ellibou|5.6882|-4.5100|1176|22.0
Castelo|-20.6036|-41.1847|239|22.0
Karmāla|18.4077|75.1939|962|22.0
Khwaeng Bang Plat|13.7878|100.4947|567|22.0
Sambaíba|-7.1403|-45.3461|517|22.0
Năvodari|44.3167|28.6000|1697|22.0
Nanjian|25.0449|100.5144|691|22.0
Sardis|49.1333|-121.9500|1069|22.0
Altinópolis|-21.0256|-47.3739|137|22.0
Tongshan|34.1805|117.1571|40|22.0
Mūndka|28.6801|77.0298|1507|22.0
Mozelos|41.8677|-8.3978|2541|22.0
Salug|8.1147|122.7833|-350|22.0
Bistriţa|47.1332|24.5001|1739|22.0
Zellingen|49.8974|9.8175|1838|22.0
Anandpar|22.3220|70.8456|1164|22.0
Rogovskaya|45.7312|38.7396|1906|22.0
Othmarschen|53.5517|9.8863|1804|22.0
Río Abajo|9.0240|-79.4936|753|22.0
China|25.7000|-99.2345|956|22.0
Jalalpur Jattan|32.6412|74.2056|1668|22.0
Puerto Carreño|6.1904|-67.4839|871|22.0
Vyshkovo|48.0489|23.4199|1751|22.0
L'Île-Bizard–Sainte-Geneviève|45.4939|-73.8956|979|22.0
Arizona City|32.7559|-111.6710|826|22.0
Nantong|32.0303|120.8747|-54|22.0
Virginia|47.5233|-92.5366|1127|22.0
Hampstead|39.6048|-76.8500|1068|22.0
Heng Fa Chuen|22.2767|114.2408|32|22.0
Shōwa|35.6279|138.5351|357|22.0
Chojna|52.9639|14.4280|1784|22.0
Capão da Canoa|-29.7456|-50.0097|-350|22.0
Pasir Puteh|5.8333|102.4000|250|22.0
Vidra|44.2606|26.1697|1684|22.0
Zhongshu|24.5167|103.7667|533|22.0
Vetapālem|15.7850|80.3066|843|22.0
Silly|50.6488|3.9236|1954|22.0
Bergstedt|53.6711|10.1269|1802|22.0
Kavadarci|41.4334|22.0122|1661|22.0
Selangau|2.5248|112.3254|-77|22.0
Failsworth|53.5048|-2.1657|2043|22.0
Gürün|38.7223|37.2710|1586|22.0
Potrerillos|15.2301|-87.9639|807|22.0
Rosso|16.4203|-15.7983|1540|22.0
Mabashi|35.8118|139.9207|409|22.0
Aussillon|43.4990|2.3631|2174|22.0
Niğde|37.9658|34.6793|1537|22.0
Dornbirn|47.4143|9.7419|1870|22.0
Kwaggafontein|-25.3273|28.9422|-103|22.0
Chhaprauli|29.2099|77.1745|1524|22.0
Podil|49.6039|34.5944|1972|22.0
Dayr Ḩāfir|36.1569|37.7078|1487|22.0
Mrirt|33.1643|-5.5672|2512|22.0
Begusarai|25.4185|86.1339|1249|22.0
Bégbessou|7.0670|-5.5974|1241|22.0
Tarāna|23.3338|76.0425|1269|22.0
Wanchaq|-13.5249|-71.9653|-350|22.0
Holywell|53.2747|-3.2290|2081|22.0
Waltershausen|50.8983|10.5579|1817|22.0
Irymple|-34.2354|142.1710|-350|22.0
Adams|42.6243|-73.1176|1002|22.0
Al Hoceïma|35.2516|-3.9372|2493|22.0
Dobrovo|45.9974|13.5271|1804|22.0
Santes|50.5932|2.9629|1981|22.0
Langley Park|38.9887|-76.9814|1079|22.0
Marromeu|-18.2908|35.9453|385|22.0
Şaphane|39.0273|29.2222|1563|22.0
Nanyuan Residential|22.5405|114.0953|38|22.0
Klawer|-31.7759|18.6250|-350|22.0
Târgu Neamţ|47.2000|26.3667|1755|22.0
Wulingshan|29.5304|107.5597|324|22.0
Karthikappally|9.2568|76.4487|320|22.0
Loukhi|66.0750|33.0487|2336|22.0
Oleszyce|50.1675|23.0348|1791|22.0
Walldürn|49.5836|9.3664|1850|22.0
Diguvametta|15.3951|78.8293|802|22.0
Cidade Universitária|38.7520|-9.1592|2579|22.0
Kaitaichi|34.3667|132.5333|128|22.0
Monroe|39.4403|-84.3622|1184|22.0
Ahraura|25.0158|83.0329|1301|22.0
Maâtkas|36.6047|3.9844|2251|22.0
Şirvan|39.9378|48.9290|1840|22.0
Mathangwane|-21.0000|27.3333|141|22.0
Kirchberg|50.6219|12.5245|1795|22.0
Nyamunuka|-0.8349|30.0922|1107|22.0
Ledeberg|51.0386|3.7446|1950|22.0
Miraí|-21.1953|-42.6142|211|22.0
Aféré|6.9028|-4.0837|1283|22.0
Orcutt|34.8653|-120.4360|550|22.0
Belgrade|44.8040|20.4651|1707|22.0
Araguaína|-7.1911|-48.2072|545|22.0
Barpeta Road|26.5028|90.9694|1115|22.0
Tougan|13.0724|-3.0694|1753|22.0
Santa Luzia d'Oeste|-11.9081|-61.7789|159|22.0
Sindkhed Raja|19.9536|76.1264|1072|22.0
Rudne|49.8333|23.9000|1793|22.0
Çamaş|40.9020|37.5279|1679|22.0
Unsworth Heights|-36.7537|174.7215|-350|22.0
Cava Dè Tirreni|40.6995|14.7077|1816|22.0
Garango|11.8000|-0.5506|1736|22.0
Bogor|-6.5944|106.7892|-350|22.0
Zay Kone East|16.8835|96.1096|772|22.0
Buedu|8.2796|-10.3713|1153|22.0
Sholinganallur|12.8900|80.2313|645|22.0
Luxor|25.6989|32.6421|1262|22.0
Bījāpur|18.7939|80.8160|1031|22.0
Tokmok|42.8419|75.3015|1731|22.0
Pyin Ma Pin|16.9958|96.1315|774|22.0
Sergiyev Posad|56.3120|38.1387|2261|22.0
Pylaía|40.5992|22.9861|1641|22.0
Murowana Goślina|52.5746|17.0093|1786|22.0
Kermadec Trench|-32.1290|-178.3500|-10047|95.0
Nhamayabué|-17.4206|35.0658|427|22.0
Lavena Ponte Tresa|45.9671|8.8573|1914|22.0
Englewood|26.9620|-82.3526|1254|22.0
Pindaí|-14.4925|-42.6872|374|22.0
Sassari|40.7259|8.5555|2014|22.0
Matnog|12.5878|124.0875|-350|22.0
Portugalete|43.3210|-3.0206|2363|22.0
Satipo|-11.2522|-74.6386|-350|22.0
Gerena|37.5296|-6.1548|2531|22.0
Ventanas|-1.4428|-79.4627|77|22.0
Antón|8.3968|-80.2650|693|22.0
Ajaccio|41.9189|8.7381|1986|22.0
Neapoli|40.6532|22.9416|1642|22.0
Königsee|50.6614|11.0975|1811|22.0
Castellarano|44.5183|10.7373|1884|22.0
San Fernando de Atabapo|4.0456|-67.6993|794|22.0
Wangji|33.9833|117.7500|28|22.0
Strawberry|37.8969|-122.5089|618|22.0
Madrid|4.7325|-74.2642|684|22.0
Savignano sul Rubicone|44.0901|12.3994|1845|22.0
Jamshedpur|22.8028|86.1855|1174|22.0
San Francisco|9.9938|-84.1274|646|22.0
San Bernardo del Viento|9.3533|-75.9524|862|22.0
Svobodnyy|58.0397|60.3961|2029|22.0
Lecco|45.8559|9.3970|1901|22.0
Lake Shore|45.6907|-122.6909|949|22.0
Reedy Creek|-28.1124|153.3964|-350|22.0
Alderetes|-26.8179|-65.1420|-350|22.0
Port Glaud|-4.6626|55.4184|-67|22.0
Paray-Vieille-Poste|48.7140|2.3628|2045|22.0
Glandorf|52.0847|7.9994|1842|22.0
Forfar|56.6438|-2.8900|1964|22.0
Hamilton|-37.7443|142.0220|-350|22.0
Usoke|-5.1667|32.3500|931|22.0
Kaédi|16.1507|-13.5058|1612|22.0
Barretos|-20.5572|-48.5678|128|22.0
Annāmalainagar|11.4000|79.7333|531|22.0
Człuchów|53.6672|17.3588|1800|22.0
Glen Cove|40.8623|-73.6337|1021|22.0
Real|14.6640|121.6041|-321|22.0
Yacheng|34.3228|105.1353|405|22.0
Crossett|33.1282|-91.9612|1306|22.0
Iboguhé|6.5481|-6.8442|1156|22.0
Xinyu|27.8043|114.9334|21|22.0
Terku Kallikulam|8.3528|77.6637|272|22.0
Lorient|47.7482|-3.3718|2259|22.0
Forest Park|33.6221|-84.3691|1264|22.0
Tototlán|20.5422|-102.7913|499|22.0
Cárdenas|18.0013|-93.3756|760|22.0
Chapakhowa Town|27.9153|95.7664|914|22.0
Könnern|51.6712|11.7707|1798|22.0
Buguias|16.7227|120.8283|-275|22.0
El Kala|36.8956|8.4433|2082|22.0
Shyroke|47.6855|33.2615|1874|22.0
Hereford|34.8152|-102.3993|1214|22.0
Saint-Hilaire de Talmont|46.4701|-1.6033|2236|22.0
Cranbrook|49.4999|-115.7688|1209|22.0
Bradley Gardens|40.5629|-74.6546|1032|22.0
Bagan Datoh|3.9833|100.7833|177|22.0
San Cristobal|40.3408|-3.6884|2441|22.0
Frasnes-lez-Buissenal|50.6678|3.6205|1962|22.0
Melegnano|45.3578|9.3236|1911|22.0
Arilje|43.7531|20.0956|1702|22.0
Sodo|6.8600|37.7616|889|22.0
Pantheeramkavu|11.2305|75.8518|459|22.0
Bandeirantes|-23.1100|-50.3675|-48|22.0
Heino|52.4366|6.2328|1867|22.0
Alicante|38.3452|-0.4815|2375|22.0
San Felice A Cancello|41.0170|14.4874|1819|22.0
Mitchell|43.7094|-98.0298|1288|22.0
Beith|55.7492|-4.6368|2039|22.0
Yinma|36.6608|119.4625|77|22.0
Jhagrakhand|23.1942|82.1976|1244|22.0
San Carlos Sija|14.9844|-91.5491|652|22.0
Kota Samarahan|1.4603|110.4882|-66|22.0
Cloverly|39.1082|-76.9977|1078|22.0
Tatkon|24.6790|95.0742|938|22.0
Cerqueira César|-23.0356|-49.1661|-4|22.0
Labytnangi|66.6572|66.4183|1357|22.0
Tyachiv|48.0109|23.5717|1751|22.0
Odry|49.6626|17.8308|1761|22.0
Sātkania|22.0764|92.0495|1012|22.0
Monserrato|39.2564|9.1444|2018|22.0
Toijala|61.1678|23.8382|2064|22.0
Wājegaon|19.1439|77.3457|1032|22.0
Eaglescliffe|54.5252|-1.3504|1990|22.0
Petrozavodsk|61.7849|34.3469|2309|22.0
Liversedge|53.7051|-1.6933|2024|22.0
Sanlúcar de Barrameda|36.7781|-6.3515|2536|22.0
Taretan|19.3344|-101.9178|460|22.0
Varennes|45.6834|-73.4325|979|22.0
Afourer|32.2072|-6.5382|2510|22.0
Wandlitz|52.7420|13.4580|1786|22.0
Haillicourt|50.4752|2.5746|1994|22.0
Ezequiel Montes|20.6657|-99.8987|643|22.0
Sawara|35.8833|140.5000|430|22.0
Midland Beach|40.5732|-74.0946|1027|22.0
Bori|4.6763|7.3652|1453|22.0
Guangyuan|32.4420|105.8230|387|22.0
Santana dos Garrotes|-7.3839|-37.9858|386|22.0
Gangāpur|26.4725|76.7174|1422|22.0
Lilia|21.5368|71.3636|1120|22.0
Willstätt|48.5407|7.8931|1896|22.0
New Cairo|30.0300|31.4700|1356|22.0
Villanova|41.9636|12.7563|1859|22.0
Nabari|34.6167|136.0833|231|22.0
Graniteville|40.6248|-74.1485|1027|22.0
Nules|39.8536|-0.1564|2339|22.0
Lake Assal|11.6500|42.4200|-155|40.0
Renningen|48.7697|8.9387|1869|22.0
Maitum|6.0392|124.4986|-350|22.0
Lądek-Zdrój|50.3437|16.8795|1768|22.0
Bin-Houyé|6.7824|-8.3131|1118|22.0
Alton|51.1493|-0.9747|2080|22.0
Gongping|31.1270|109.1972|247|22.0
Strzyżów|49.8707|21.7941|1775|22.0
